,song_type,rank,count,log_rank,log_count
0,2016,0,231,0.0,5.442417710521793
1,2016,1,181,0.6931471805599453,5.198497031265826
2,2016,2,113,1.0986122886681098,4.727387818712341
3,2016,3,97,1.3862943611198906,4.574710978503383
4,2016,4,76,1.6094379124341003,4.330733340286331
5,2016,5,35,1.791759469228055,3.5553480614894135
6,2016,6,7,1.9459101490553132,1.9459101490553132
7,2016,7,6,2.0794415416798357,1.791759469228055
8,2016,8,4,2.1972245773362196,1.3862943611198906
9,2016,9,3,2.302585092994046,1.0986122886681098
10,2016,10,3,2.3978952727983707,1.0986122886681098
11,2016,11,1,2.4849066497880004,0.0
12,2017,0,376,0.0,5.929589143389895
13,2017,1,165,0.6931471805599453,5.10594547390058
14,2017,2,124,1.0986122886681098,4.820281565605037
15,2017,3,120,1.3862943611198906,4.787491742782046
16,2017,4,112,1.6094379124341003,4.718498871295094
17,2017,5,73,1.791759469228055,4.290459441148391
18,2017,6,51,1.9459101490553132,3.9318256327243257
19,2017,7,1,2.0794415416798357,0.0
20,2010,0,122,0.0,4.804021044733257
21,2010,1,52,0.6931471805599453,3.9512437185814275
22,2010,2,21,1.0986122886681098,3.044522437723423
23,2010,3,13,1.3862943611198906,2.5649493574615367
24,2010,4,13,1.6094379124341003,2.5649493574615367
25,2010,5,5,1.791759469228055,1.6094379124341003
26,2011,0,159,0.0,5.0689042022202315
27,2011,1,100,0.6931471805599453,4.605170185988092
28,2011,2,38,1.0986122886681098,3.6375861597263857
29,2011,3,23,1.3862943611198906,3.1354942159291497
30,2011,4,20,1.6094379124341003,2.995732273553991
31,2011,5,19,1.791759469228055,2.9444389791664403
32,2011,6,9,1.9459101490553132,2.1972245773362196
33,2011,7,8,2.0794415416798357,2.0794415416798357
34,2011,8,3,2.1972245773362196,1.0986122886681098
35,2012,0,179,0.0,5.187385805840755
36,2012,1,161,0.6931471805599453,5.081404364984463
37,2012,2,73,1.0986122886681098,4.290459441148391
38,2012,3,67,1.3862943611198906,4.204692619390966
39,2012,4,31,1.6094379124341003,3.4339872044851463
40,2012,5,21,1.791759469228055,3.044522437723423
41,2012,6,21,1.9459101490553132,3.044522437723423
42,2013,0,118,0.0,4.770684624465665
43,2013,1,61,0.6931471805599453,4.110873864173311
44,2013,2,41,1.0986122886681098,3.713572066704308
45,2013,3,37,1.3862943611198906,3.6109179126442243
46,2013,4,36,1.6094379124341003,3.58351893845611
47,2013,5,35,1.791759469228055,3.5553480614894135
48,2013,6,17,1.9459101490553132,2.833213344056216
49,2013,7,14,2.0794415416798357,2.6390573296152584
50,2013,8,10,2.1972245773362196,2.302585092994046
51,2014,0,269,0.0,5.594711379601839
52,2014,1,160,0.6931471805599453,5.075173815233827
53,2014,2,155,1.0986122886681098,5.043425116919247
54,2014,3,126,1.3862943611198906,4.836281906951478
55,2014,4,116,1.6094379124341003,4.7535901911063645
56,2014,5,89,1.791759469228055,4.48863636973214
57,2015,0,904,0.0,6.806829360392176
58,2015,1,278,0.6931471805599453,5.627621113690637
59,2015,2,266,1.0986122886681098,5.583496308781699
60,2015,3,72,1.3862943611198906,4.276666119016055
61,2015,4,71,1.6094379124341003,4.2626798770413155
62,2015,5,65,1.791759469228055,4.174387269895637
